model,dataset,mode,version,protocol_variant,n_seeds,freq_rmse_mean,freq_rmse_std,freq_mae_mean,freq_mae_std,freq_normalized_gini_mean,freq_normalized_gini_std,freq_calibration_factor_mean,freq_calibration_factor_std,freq_horizon_abs_bias_pct_mean,freq_horizon_abs_bias_pct_std,bias_pct_mean,bias_pct_std,freq_weekly_mae_mean,freq_weekly_mae_std,freq_weekly_total_true_mean,freq_weekly_total_true_std,freq_weekly_total_pred_mean,freq_weekly_total_pred_std,freq_valendin_mape_mean,freq_valendin_mape_std,freq_horizon_bias_pct_mean,freq_horizon_bias_pct_std,freq_weekly_mean_pct_mape_mean,freq_weekly_mean_pct_mape_std,freq_weekly_mean_pct_bias_pct_mean,freq_weekly_mean_pct_bias_pct_std,freq_weekly_bias_pct_mean,freq_weekly_bias_pct_std,freq_weekly_mape_mean,freq_weekly_mape_std,freq_mape_mean,freq_mape_std,freq_mase_mean,freq_mase_std,freq_mase_scale_mean,freq_mase_scale_std,smearing_factor_mean,smearing_factor_std,spend_calibration_factor_mean,spend_calibration_factor_std,spend_mae_raw_mean,spend_mae_raw_std,spend_rmse_raw_mean,spend_rmse_raw_std,spend_normalized_gini_mean,spend_normalized_gini_std,spend_mae_log_mean,spend_mae_log_std,spend_rmse_log_mean,spend_rmse_log_std,spend_r2_log_mean,spend_r2_log_std,spend_bias_pct_mean,spend_bias_pct_std,spend_weekly_mae_mean,spend_weekly_mae_std,spend_weekly_total_true_mean,spend_weekly_total_true_std,spend_weekly_total_pred_mean,spend_weekly_total_pred_std,spend_valendin_mape_mean,spend_valendin_mape_std,spend_horizon_abs_bias_pct_mean,spend_horizon_abs_bias_pct_std,spend_horizon_bias_pct_mean,spend_horizon_bias_pct_std,spend_weekly_mean_pct_mape_mean,spend_weekly_mean_pct_mape_std,spend_weekly_mean_pct_bias_pct_mean,spend_weekly_mean_pct_bias_pct_std,spend_weekly_bias_pct_mean,spend_weekly_bias_pct_std,spend_weekly_mape_mean,spend_weekly_mape_std,spend_mase_mean,spend_mase_std,spend_mase_scale_mean,spend_mase_scale_std,clv_mae_mean,clv_mae_std,clv_rmse_mean,clv_rmse_std,clv_spearman_mean,clv_spearman_std,clv_decile_lift_mean,clv_decile_lift_std,clv_normalized_gini_mean,clv_normalized_gini_std,clv_total_true_mean,clv_total_true_std,clv_total_pred_mean,clv_total_pred_std,validation_temperature_mean,validation_temperature_std,validation_freq_true_total_mean,validation_freq_true_total_std,validation_freq_pred_total_mean,validation_freq_pred_total_std,validation_spend_true_total_mean,validation_spend_true_total_std,validation_spend_pred_total_mean,validation_spend_pred_total_std,validation_freq_calibration_factor_mean,validation_freq_calibration_factor_std,validation_spend_calibration_factor_mean,validation_spend_calibration_factor_std,validation_rolling_origin_count_mean,validation_rolling_origin_count_std,cohort_size_mean,cohort_size_std,calibration_weeks_mean,calibration_weeks_std,holdout_weeks_mean,holdout_weeks_std,n_scenarios_mean,n_scenarios_std,epochs_completed_mean,epochs_completed_std,max_epochs_configured_mean,max_epochs_configured_std,final_finetune_epochs_mean,final_finetune_epochs_std,final_finetune_lr_multiplier_mean,final_finetune_lr_multiplier_std,final_finetune_batch_size_multiplier_mean,final_finetune_batch_size_multiplier_std
pareto_nbd,cdnow,,,strict,0,1.1631473302841187,0.0,0.5381752252578735,0.0,0.6601876697535913,0.0,,,8.347715878603427,0.0,8.347710957096572,0.0,9.590114062868015,0.0,1196.0,0.0,1295.838681908097,0.0,20.848074049713077,0.0,8.347715878603427,0.0,24.139848804432532,0.0,15.781329665533288,0.0,8.347715878603427,0.0,20.848074049713077,0.0,20.848074049713077,0.0,1.0590946889736639,0.0,,,,,,,19.20151710510254,0.0,49.18121337890625,0.0,0.6953562791952966,0.0,1.0143887996673584,0.0,1.7466671466827393,0.0,-0.05247676372528076,0.0,3.736714371678593,0.0,378.6329628039832,0.0,43103.439982652664,0.0,44714.089227937904,0.0,22.83914471064385,0.0,3.7367069680133627,0.0,3.7367069680133627,0.0,28.016259764279983,0.0,14.716478765659344,0.0,3.7367069680133644,0.0,22.83914471064385,0.0,1.0063931121891228,0.0,,,18.791759490966797,0.0,48.130863189697266,0.0,0.471216215768507,0.0,5.506413061511362,0.0,0.6959052061491557,0.0,42218.734375,0.0,43750.1015625,0.0,,,,,,,,,,,,,,,,,2349.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,
bgnbd_gg,cdnow,,,strict,0,1.1944692134857178,0.0,0.5568879842758179,0.0,0.659286135017507,0.0,,,11.762932214463357,0.0,11.762923939172241,0.0,10.279596232387563,0.0,1196.0,0.0,1336.6846692849817,0.0,22.34694833127731,0.0,11.762932214463357,0.0,26.342140131195613,0.0,19.521250203044524,0.0,11.762932214463357,0.0,22.34694833127731,0.0,22.34694833127731,0.0,1.0718021871459642,0.0,,,,,,,19.1146183013916,0.0,50.25170135498047,0.0,0.6962819178344499,0.0,0.9904071092605591,0.0,1.7063076496124268,0.0,-0.004400491714477539,0.0,2.396143724035931,0.0,383.7466992510021,0.0,43103.439982652664,0.0,44136.257667195474,0.0,23.147605352476617,0.0,2.396137489162062,0.0,2.396137489162062,0.0,28.00579292488904,0.0,13.354746298747019,0.0,2.3961374891620673,0.0,23.147605352476617,0.0,0.9943851123250783,0.0,,,18.705299377441406,0.0,49.16840362548828,0.0,0.47279902800617984,0.0,5.506218884011846,0.0,0.6968338448925842,0.0,42218.734375,0.0,43179.5078125,0.0,,,,,,,,,,,,,,,,,2349.0,0.0,52.0,0.0,26.0,0.0,0.0,0.0,,,,,,,,,,
pareto_ggg,cdnow,,,strict,0,1.2724459171295166,0.0,0.550102174282074,0.0,,,,,,,13.654687173390467,0.0,,,,,,,,,,,,,,,,,,,13.654687173390467,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lstm_base,cdnow,sample,v6,strict,3,1.4602972666422527,0.009087449761198048,0.8241137663523356,0.04233622095080206,-0.007350807727128987,0.05605545794952365,2.970795805269016,0.2569691576562858,10.248736103990405,12.515825542266281,9.252827622021321,13.630058082509983,13.298957445491581,3.4471215572985177,1196.0,0.0,1306.6638191392024,163.01552228592277,28.910777055416485,7.493742515866346,9.252827687224285,13.630060391799564,32.08076717508263,9.853419067792577,16.747924557419207,14.212095291048836,9.252827687224285,13.630060391799564,28.910777055416485,7.493742515866346,28.910777055416485,7.493742515866346,0.4825289654161395,0.03104425682916929,0.0833813303950784,1.6996749443881478e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.0,120.0,0.0,40.58604749043783,3.3439553894560925,0.0,0.0,0.0,0.0,2.970795805269016,0.2569691576562858,1.0,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,98.0,1.7320508075688772,100.0,0.0,,,,,,
lstm_joint,cdnow,sample,v6b,strict,3,1.3956738313039143,0.0036595279300546857,0.665134847164154,0.013791258260231731,0.35703093469463437,0.013302835486570366,5.74598406880263,0.5044693479812816,24.463037003990404,3.2030725592029707,-24.463036918852776,3.2030693288929166,13.83759970943897,1.1744685792689225,1196.0,0.0,903.4220774322748,38.30874780806751,30.08173849878038,2.5531925636280914,-24.463037003990404,3.2030725592029707,27.654548039207924,2.6558011231262335,-19.66540872779261,3.6657293377608573,-24.463037003990404,3.2030725592029707,30.08173849878038,2.5531925636280914,30.08173849878038,2.5531925636280914,0.4007339688454576,0.006961867841118029,0.0833813303950784,1.6996749443881478e-17,1.2326510919665405,0.02058257251125371,5.398082677667852,0.5201576984852304,23.15158208211263,0.5845234312835066,54.20193608601888,0.14931316731120808,0.45802528394548675,0.023783332741271097,1.8664809068044026,0.09271309541700616,2.2174824873606362,0.05296458549612783,-0.6969839731852213,0.0815836012256492,-27.885292283823066,5.329018274020774,569.357955967034,60.95310417104115,43103.43998063614,0.0,31083.917268671048,2296.9902484235663,34.34367851334637,3.6766919511737806,27.885298058263487,5.329018401908222,-27.885298058263487,5.329018401908222,31.963815136110668,3.815264518716594,-20.925720230971063,6.021462891596917,-27.8852980582635,5.329018401908218,34.34367851334637,3.6766919511737806,0.6660883439830854,0.018845640017377624,1.7675491305339939,2.7194799110210365e-16,22.6659730275472,0.5750434959338089,53.08709462483724,0.14085389946787408,0.203879360210771,0.0248675647435465,4.000896981988909,0.19138457567723907,0.4592870728344451,0.023541559225066528,42218.734375,0.0,30474.640625,2243.898626601258,0.75,0.0,120.0,0.0,20.993693351745605,1.8737464320410688,4587.64013671875,0.0,855.1808776855469,82.88217741949309,5.74598406880263,0.5044693479812816,5.398082677667852,0.5201576984852304,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,98.0,1.7320508075688772,100.0,0.0,,,,,,
lstm_joint,cdnow,sample,v7,strict,2,1.3058964014053345,0.02605602468640491,0.5458554327487946,0.0008536844165881586,0.5098268922412383,0.014102105035967904,4.2469735213846835,0.19120786520537184,44.86772863063525,5.68259809120323,-44.867726711923865,5.6825972806869105,24.578701230195854,0.3077638937116732,1196.0,0.0,659.3819655776024,67.96387317079063,53.43195919607794,0.6690519428514592,-44.86772863063525,5.68259809120323,52.566487105622485,1.1092639413234913,-42.2587351922903,5.899283826687439,-44.86772863063525,5.68259809120323,53.43195919607794,0.6690519428514592,53.43195919607794,0.6690519428514592,0.34614745408825126,0.007955337054921496,0.08338133039507842,0.0,1.2770717094027453,0.01346950395150933,3.588685396348485,0.2174124205784912,19.315972328186035,0.11471900119962034,52.255043029785156,0.7197575792355775,0.5564352448714216,0.022960219242624817,1.3864011764526367,0.0038847593209461245,1.8410875797271729,0.01363551701763848,-0.16937291622161865,0.017320837451431054,-48.18306345201586,5.23782872080666,921.4796157781113,24.324395179989676,43103.43998063614,0.0,22334.881013267444,2257.6836265710176,55.5836611207691,1.4672477996277071,48.18306607708989,5.2378270216606,-48.18306607708989,5.2378270216606,55.0786879204737,1.9550476479000527,-44.19923417185653,5.114418503352232,-48.183066077089904,5.2378270216606,55.5836611207691,1.4672477996277071,0.5763997956093014,0.011539942061889448,1.7675491305339937,0.0,18.91262912750244,0.11321924774220868,51.14986038208008,0.7112391953893437,0.28391526042693327,0.0006950564171919641,4.747977812127179,0.0611802755533683,0.5572370104215394,0.0226150052257901,42218.734375,0.0,21989.4765625,2236.8328653925387,0.75,0.0,120.0,0.0,28.284080982208252,1.2734100452174764,4587.64013671875,0.0,1280.7125854492188,77.58908695400554,4.2469735213846835,0.19120786520537184,3.588685396348485,0.2174124205784912,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,120.0,0.0,120.0,0.0,,,,,,
lstm_joint,cdnow,sample,v8,strict,1,1.2696365118026733,0.0,0.5187267065048218,0.0,0.5211852482083837,0.0,3.3680798764345288,0.0,48.35972702847077,0.0,-48.35972610524665,0.0,26.558889559255196,0.0,1196.0,0.0,617.6176647394896,0.0,57.73671643316347,0.0,-48.35972702847077,0.0,56.67019237528051,0.0,-46.03827778422435,0.0,-48.35972702847077,0.0,57.73671643316347,0.0,57.73671643316347,0.0,0.33506544830862545,0.0,0.08338133039507842,0.0,1.2413604675028316,0.0,2.881173507533844,0.0,18.30952262878418,0.0,51.070735931396484,0.0,0.5653010605050053,0.0,1.2766611576080322,0.0,1.7483704090118408,0.0,-0.05453050136566162,0.0,-54.132718533179634,0.0,996.9880179353677,0.0,43103.43998063614,0.0,19770.37585305589,0.0,60.13832881543715,0.0,54.132719193786926,0.0,-54.132719193786926,0.0,59.29174948601159,0.0,-50.98386069336962,0.0,-54.13271919378694,0.0,60.13832881543715,0.0,0.548991364231461,0.0,1.7675491305339937,0.0,17.924179077148438,0.0,49.97201919555664,0.0,0.312174792189225,0.0,4.946601835155594,0.0,0.5664100941250666,0.0,42218.734375,0.0,19483.61328125,0.0,0.75,0.0,120.0,0.0,35.62860870361328,0.0,4587.64013671875,0.0,1592.2817993164062,0.0,3.3680798764345288,0.0,2.881173507533844,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,120.0,0.0,120.0,0.0,,,,,,
transformer_joint,cdnow,sample,v6b,strict,1,1.5322883129119873,0.0,0.6040496826171875,0.0,0.531708334696816,0.0,3.7215524616572124,0.0,6.65298468592175,0.0,-6.652985129468019,0.0,20.701878091463676,0.0,1196.0,0.0,1116.4303031563759,0.0,45.004082807529734,0.0,-6.65298468592175,0.0,48.0725427574522,0.0,-5.544662608816526,0.0,-6.65298468592175,0.0,45.004082807529734,0.0,45.004082807529734,0.0,0.41313245930208803,0.0,0.08338133039507842,0.0,1.2422531797506298,0.0,2.895759115533991,0.0,20.732311248779297,0.0,60.692771911621094,0.0,0.5453527077183177,0.0,0.8017113208770752,0.0,1.6964021921157837,0.0,0.0072272419929504395,0.0,-16.324067831016958,0.0,686.2805245532456,0.0,43103.43998063614,0.0,36067.20280246446,0.0,41.396449207767034,0.0,16.32407339491384,0.0,-16.32407339491384,0.0,44.94041197084561,0.0,-12.861198621293285,0.0,-16.32407339491384,0.0,41.396449207767034,0.0,0.6736897987374544,0.0,1.7675491305339937,0.0,20.342172622680664,0.0,59.520084381103516,0.0,0.4366367180348707,0.0,4.883372853671703,0.0,0.5457777183069991,0.0,42218.734375,0.0,35506.88671875,0.0,0.9,0.0,120.0,0.0,32.24460792541504,0.0,4587.64013671875,0.0,1584.2616577148438,0.0,3.7215524616572124,0.0,2.895759115533991,0.0,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,100.0,0.0,100.0,0.0,,,,,,
transformer_joint,cdnow,sample,v7,strict,2,1.2814345359802246,0.04458259918003562,0.4875746816396713,0.03141012851356208,0.573594931116856,0.024538403212762298,3.5076894299740715,0.3790074485516308,34.792044959389244,8.6686262800075,-34.79204464915604,8.668633442504957,21.510503711035618,2.039090267281685,1196.0,0.0,779.8871422857046,103.67677030888967,46.761964589207864,4.432804928873226,-34.792044959389244,8.6686262800075,48.154146387193535,3.0061966875062525,-33.0597855412442,8.544278886735265,-34.792044959389244,8.6686262800075,46.761964589207864,4.432804928873226,46.761964589207864,4.432804928873226,0.3547808575697042,0.016633864613299118,0.08338133039507842,0.0,1.254997318716828,0.007733503933475222,2.844495666850257,0.12639362878958532,17.62554359436035,1.148975689673913,52.14084053039551,3.0326984009626057,0.5855046638697283,0.024075020067073263,0.7811961472034454,0.007537331653445735,1.6075572967529297,0.038877096003418876,0.1082315444946289,0.04312035641779866,-38.07565467516367,6.247139050464304,794.3014694648955,65.25333107063472,43103.43998063614,0.0,26691.522077600894,2692.729777439144,47.91227385880326,3.9360816876766256,38.07565686267306,6.247134285915071,-38.07565686267306,6.247134285915071,49.496882182864624,2.8046552273461933,-34.62119202205152,5.489834046441661,-38.07565686267307,6.247134285915066,47.91227385880326,3.9360816876766256,0.5953482712840223,0.020608185965644774,1.7675491305339937,0.0,17.275861740112305,1.1286669778378475,51.09037399291992,2.986807563604792,0.45842860649467404,0.010965787811446177,4.983717974457024,0.18839061457173453,0.5859656115136719,0.024017260029245587,42218.734375,0.0,26279.6845703125,2657.8086113583636,0.75,0.0,120.0,0.0,34.4114294052124,3.718170699046329,4587.64013671875,0.0,1614.4069519042969,71.73530104908382,3.5076894299740715,0.3790074485516308,2.844495666850257,0.12639362878958532,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,120.0,0.0,120.0,0.0,,,,,,
transformer_joint,cdnow,sample,v7_twostage,strict,2,1.2778913378715515,0.14418698186037615,0.510173574090004,0.06583226048253094,0.5633688111521974,0.0894654712670308,4.310085443995821,2.2689577952952433,25.788424090547707,1.8961222062162095,-25.78842265151416,1.8961212529785385,21.949068655761387,4.7396545767767035,1196.0,0.0,887.5704478770494,22.677621586345847,47.71536664295954,10.303596906036308,-25.788424090547707,1.8961222062162095,49.95649360834687,13.198339444836384,-24.084761823185076,0.16965178838929945,-25.788424090547707,1.8961222062162095,47.71536664295954,10.303596906036308,47.71536664295954,10.303596906036308,0.37282971824947164,0.0124326725903595,0.08338133039507842,0.0,1.4739282013728958,0.09525457003565628,3.9903713845329776,2.070462601404888,19.018320083618164,2.548269942023728,51.523122787475586,5.739737207200812,0.5637939884204948,0.10046761615981196,0.8216428756713867,0.027428831836101748,1.6873454451560974,0.12115221186262617,0.015267640352249146,0.14104497645073752,-23.222573696268427,3.371603642586176,787.3318329598676,214.68040757180262,43103.43998063614,0.0,33093.70913222795,1453.2740858983082,47.491865303912675,12.949524676857338,23.222580037474906,3.371596528145269,-23.222580037474906,3.371596528145269,50.941144744821486,18.047912689659956,-19.564283725332018,1.247556766168579,-23.222580037474913,3.371596528145289,47.491865303912675,12.949524676857338,0.6453840235936643,0.024486696195867835,1.7675491305339937,0.0,18.657020568847656,2.533202275093689,50.502180099487305,5.68452146390366,0.4465419395762471,0.04775850464087574,4.624761707478957,0.7480199210797416,0.5642450006787854,0.10050997363139341,42218.734375,0.0,32605.4111328125,1549.7391396086753,0.75,0.0,120.0,0.0,32.32008218765259,17.014257229265354,4587.64013671875,0.0,1328.5083312988281,689.315993561578,4.310085443995821,2.2689577952952433,3.9903713845329776,2.070462601404888,2.0,0.0,2349.0,0.0,52.0,0.0,26.0,0.0,30.0,0.0,67.5,17.67766952966369,120.0,0.0,,,,,,
